id,Variant Price,Sku,Compare At Price,Barcode,Title,Description,hide out of stock,Track Inventory,Is Active,Is Approved,Tags,Product Group,Vendor,Product Type,Product Brand,Collection
40,8800,DP-40,10000,Barcode-40,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,TRUE,TRUE,TRUE,women,4,4,Test Product,4,4
41,9000,DP-41,10000,Barcode-41,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",TRUE,TRUE,TRUE,TRUE,women,5,5,Test Product,5,5
42,9200,DP-42,10000,Barcode-42,Striped Skirt and Top,Black cotton top with matching striped skirt.,TRUE,TRUE,TRUE,TRUE,"men, sizechart",5,5,Test Product,5,5
43,9400,DP-43,10000,Barcode-43,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,TRUE,TRUE,TRUE,TRUE,women,5,5,Test Product,5,5
44,9600,DP-44,10000,Barcode-44,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,TRUE,TRUE,TRUE,TRUE,women,5,5,Test Product,5,5
45,9800,DP-45,10000,Barcode-45,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,FALSE,FALSE,TRUE,TRUE,men,5,5,Test Product,5,5
46,10000,DP-46,15000,Barcode-46,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,FALSE,FALSE,TRUE,TRUE,women,5,5,Test Product,5,5
47,10000,DP-47,15000,Barcode-47,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",FALSE,FALSE,TRUE,TRUE,women,5,5,Test Product,5,5
48,10000,DP-48,15000,Barcode-48,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",FALSE,FALSE,TRUE,TRUE,men,5,5,Test Product,5,5
49,10000,DP-49,15000,Barcode-49,Silk Summer Top,Silk womens top with short sleeves and number pattern.,FALSE,FALSE,TRUE,TRUE,women,5,5,Test Product,5,5
50,10000,DP-50,15000,Barcode-50,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,FALSE,FALSE,TRUE,TRUE,women,5,5,Test Product,5,5
51,10000,DP-51,15000,Barcode-51,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",TRUE,FALSE,FALSE,FALSE,men,6,6,Test Product,6,6
52,10000,DP-52,15000,Barcode-52,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",TRUE,FALSE,FALSE,FALSE,women,6,6,Test Product,6,6
53,10000,DP-53,15000,Barcode-53,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,FALSE,FALSE,FALSE,women,6,6,Test Product,6,6
54,10000,DP-54,15000,Barcode-54,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
55,10000,DP-55,15000,Barcode-55,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
56,10000,DP-56,15000,Barcode-56,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
57,10000,DP-57,15000,Barcode-57,Floral White Top,Stylish sleeveless white top with a floral pattern.,TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
58,10000,DP-58,15000,Barcode-58,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,TRUE,TRUE,FALSE,FALSE,men,6,6,Test Product,6,6
59,10000,DP-59,15000,Barcode-59,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
60,11000,DP-60,15000,Barcode-60,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,TRUE,FALSE,FALSE,women,6,6,Test Product,6,6
61,11000,DP-61,15000,Barcode-61,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",TRUE,TRUE,TRUE,TRUE,"men, sizechart",7,7,Test Product,7,7
62,11000,DP-62,15000,Barcode-62,Striped Skirt and Top,Black cotton top with matching striped skirt.,TRUE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
63,11000,DP-63,15000,Barcode-63,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,TRUE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
64,11000,DP-64,15000,Barcode-64,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,TRUE,TRUE,TRUE,TRUE,men,7,7,Test Product,7,7
65,11000,DP-65,15000,Barcode-65,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,TRUE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
66,11000,DP-66,15000,Barcode-66,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,TRUE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
67,11000,DP-67,15000,Barcode-67,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",TRUE,TRUE,TRUE,TRUE,men,7,7,Test Product,7,7
68,11000,DP-68,15000,Barcode-68,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",FALSE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
69,11000,DP-69,15000,Barcode-69,Silk Summer Top,Silk womens top with short sleeves and number pattern.,FALSE,TRUE,TRUE,TRUE,women,7,7,Test Product,7,7
70,12000,DP-70,15000,Barcode-70,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,FALSE,TRUE,TRUE,TRUE,men,7,7,Test Product,7,7
71,12000,DP-71,15000,Barcode-71,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",FALSE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
72,12000,DP-72,15000,Barcode-72,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",FALSE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
73,12000,DP-73,15000,Barcode-73,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",FALSE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
74,12000,DP-74,15000,Barcode-74,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",FALSE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
75,12000,DP-75,15000,Barcode-75,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",TRUE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
76,12000,DP-76,15000,Barcode-76,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,TRUE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
77,12000,DP-77,15000,Barcode-77,Floral White Top,Stylish sleeveless white top with a floral pattern.,TRUE,TRUE,TRUE,TRUE,men,8,8,Test Product,8,8
78,12000,DP-78,15000,Barcode-78,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,TRUE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
79,12000,DP-79,15000,Barcode-79,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",TRUE,TRUE,TRUE,TRUE,women,8,8,Test Product,8,8
80,13000,DP-80,15000,Barcode-80,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,TRUE,TRUE,TRUE,"men, sizechart",8,8,Test Product,8,8
81,13000,DP-81,15000,Barcode-81,LED High Tops,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle.",TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
82,13000,DP-82,15000,Barcode-82,Striped Skirt and Top,Black cotton top with matching striped skirt.,TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
83,13000,DP-83,15000,Barcode-83,Red Sports Tee,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,TRUE,TRUE,TRUE,TRUE,men,9,9,Test Product,9,9
84,13000,DP-84,15000,Barcode-84,Blue Silk Tuxedo,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
85,13000,DP-85,15000,Barcode-85,Olive Green Jacket,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
86,13000,DP-86,15000,Barcode-86,White Cotton Shirt,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,TRUE,TRUE,TRUE,TRUE,men,9,9,Test Product,9,9
87,13000,DP-87,15000,Barcode-87,Chequered Red Shirt,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
88,13000,DP-88,15000,Barcode-88,Long Sleeve Cotton Top,"Black cotton womens top, with long sleeves, no collar and a thick hem.",TRUE,TRUE,TRUE,TRUE,women,9,9,Test Product,9,9
89,13000,DP-89,15000,Barcode-89,Silk Summer Top,Silk womens top with short sleeves and number pattern.,FALSE,FALSE,TRUE,TRUE,men,9,9,Test Product,9,9
90,14000,DP-90,15000,Barcode-90,Zipped Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,FALSE,FALSE,TRUE,TRUE,women,9,9,Test Product,9,9
91,14000,DP-91,15000,Barcode-91,Black Leather Bag,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.",FALSE,FALSE,FALSE,FALSE,women,10,3,Test Product,10,10
92,14000,DP-92,15000,Barcode-92,Soft Winter Jacket,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",FALSE,FALSE,FALSE,FALSE,women,11,5,Test Product,10,11
93,14000,DP-93,15000,Barcode-93,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",FALSE,FALSE,FALSE,FALSE,women,12,7,Test Product,10,12
94,14000,DP-94,15000,Barcode-94,Dark Denim Top,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",FALSE,FALSE,FALSE,FALSE,women,13,2,Test Product,10,13
95,14000,DP-95,15000,Barcode-95,Classic Leather Jacket,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.",FALSE,FALSE,TRUE,TRUE,women,14,4,Test Product,10,15
96,14000,DP-96,15000,Barcode-96,Striped Silk Blouse,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,TRUE,FALSE,TRUE,TRUE,men,15,1,Test Product,10,9
97,14000,DP-97,15000,Barcode-97,Floral White Top,Stylish sleeveless white top with a floral pattern.,TRUE,TRUE,TRUE,TRUE,women,10,8,Test Product,10,13
98,14000,DP-98,15000,Barcode-98,Yellow Wool Jumper,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.,TRUE,TRUE,FALSE,FALSE,women,11,9,Test Product,10,11
99,14000,DP-99,15000,Barcode-99,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.",TRUE,TRUE,FALSE,FALSE,men,12,3,Test Product,10,15
100,14000,DP-100,15000,Barcode-100,Navy Sports Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",TRUE,TRUE,FALSE,FALSE,men,13,6,Test Product,10,11
